category	model	name	path	bytes	sha256	source_url	downloaded_at	license
lock-sound		Are you ok.WAV	assets/xiaote/raw/lock-sounds/Are you ok.WAV	168014	b859ac2ad3e020a8112015093553b1b3be9593b4ab164f565af35a93228dc2d6	https://static0.xiaote.com/video/锁车特效声/Are you ok.WAV	2026-08-30T12:50:09Z	未声明，禁止公开再分发
lock-sound		Timi.WAV	assets/xiaote/raw/lock-sounds/Timi.WAV	282702	2400b7a2e75644fafca2639473db67d6ffe4231b794453bf7f266bcb066014c0	https://static0.xiaote.com/video/锁车特效声/Timi.WAV	2026-08-30T12:50:09Z	未声明，禁止公开再分发
lock-sound		iphone充电提示音.WAV	assets/xiaote/raw/lock-sounds/iphone充电提示音.WAV	69710	049548e4af6b59fec877157ccab06820a02ae8107a01749e89ace7d93a682738	https://static0.xiaote.com/video/锁车特效声/iphone充电提示音.WAV	2026-08-30T12:50:09Z	未声明，禁止公开再分发
lock-sound		iphone锁屏.WAV	assets/xiaote/raw/lock-sounds/iphone锁屏.WAV	32846	36cc645989d22b224fbb682f093c90a83c6bddd8f27336c8bde2fc572851d32c	https://static0.xiaote.com/video/锁车特效声/iphone锁屏.WAV	2026-08-30T12:50:09Z	未声明，禁止公开再分发
lock-sound		okay got it.WAV	assets/xiaote/raw/lock-sounds/okay got it.WAV	909390	e244eff6a879cc9ec5480cc96d5de19ff7bde72bf52441155c0c4652956d9392	https://static0.xiaote.com/video/锁车特效声/okay got it.WAV	2026-08-30T12:50:09Z	未声明，禁止公开再分发
lock-sound		windows关机.WAV	assets/xiaote/raw/lock-sounds/windows关机.WAV	417870	4b450f5e0d0fd850cf8f1020b4b827f03d6c30e07f50eb1363dad5fbced17f0e	https://static0.xiaote.com/video/锁车特效声/windows关机.WAV	2026-08-30T12:50:09Z	未声明，禁止公开再分发
lock-sound		你干嘛哎哟.WAV	assets/xiaote/raw/lock-sounds/你干嘛哎哟.WAV	589902	b677eb1c5485d08b137f214adfc8c4a172acf359f56918c75a3f1e39a8c68af7	https://static0.xiaote.com/video/锁车特效声/你干嘛哎哟.WAV	2026-08-30T12:50:09Z	未声明，禁止公开再分发
lock-sound		变形金刚关机ing.WAV	assets/xiaote/raw/lock-sounds/变形金刚关机ing.WAV	450638	de5a2bbbc06351dd078b93a3c124875fccc878c313a14f795c9357f3045f84b6	https://static0.xiaote.com/video/锁车特效声/变形金刚关机ing.WAV	2026-08-30T12:50:09Z	未声明，禁止公开再分发
lock-sound		变形金刚没电.WAV	assets/xiaote/raw/lock-sounds/变形金刚没电.WAV	450638	de5a2bbbc06351dd078b93a3c124875fccc878c313a14f795c9357f3045f84b6	https://static0.xiaote.com/video/锁车特效声/变形金刚没电.WAV	2026-08-30T12:50:09Z	未声明，禁止公开再分发
lock-sound		可达鸭.WAV	assets/xiaote/raw/lock-sounds/可达鸭.WAV	294990	f442c5244fd8d8c3836155c4a50fb0055d2eb2e6065cd28bdcbc62603472e50b	https://static0.xiaote.com/video/锁车特效声/可达鸭.WAV	2026-08-30T12:50:09Z	未声明，禁止公开再分发
lock-sound		哆啦A梦.WAV	assets/xiaote/raw/lock-sounds/哆啦A梦.WAV	749646	2bbf324983d1a55f94125a4760b141443739b115c8ec41949cb4bccbbf049e1f	https://static0.xiaote.com/video/锁车特效声/哆啦A梦.WAV	2026-08-30T12:50:09Z	未声明，禁止公开再分发
lock-sound		大小姐驾到通通闪开.WAV	assets/xiaote/raw/lock-sounds/大小姐驾到通通闪开.WAV	458830	e2c24fe938fc9521b477fb7a3aa38907c98ed18261849d45840d9b59bd454f63	https://static0.xiaote.com/video/锁车特效声/大小姐驾到通通闪开.WAV	2026-08-30T12:50:09Z	未声明，禁止公开再分发
lock-sound		大气结尾.WAV	assets/xiaote/raw/lock-sounds/大气结尾.WAV	446542	5c6bc8763d65fb7bf052fb46a92ae0ffcabca9bef3d702aa28cc398ae76ef78b	https://static0.xiaote.com/video/锁车特效声/大气结尾.WAV	2026-08-30T12:50:09Z	未声明，禁止公开再分发
lock-sound		奈飞.WAV	assets/xiaote/raw/lock-sounds/奈飞.WAV	581710	54281eac4354a0836bf5dcc103820c242cf9f1a9978c503e407eb4bdb5e7ab12	https://static0.xiaote.com/video/锁车特效声/奈飞.WAV	2026-08-30T12:50:09Z	未声明，禁止公开再分发
lock-sound		奥迪心跳声.WAV	assets/xiaote/raw/lock-sounds/奥迪心跳声.WAV	315470	e095be6b9eeb16c24f15ac40adfec0eb00effda2564e846d526d16216b034d38	https://static0.xiaote.com/video/锁车特效声/奥迪心跳声.WAV	2026-08-30T12:50:09Z	未声明，禁止公开再分发
lock-sound		孙尚香-大小姐驾到.WAV	assets/xiaote/raw/lock-sounds/孙尚香-大小姐驾到.WAV	458830	e2c24fe938fc9521b477fb7a3aa38907c98ed18261849d45840d9b59bd454f63	https://static0.xiaote.com/video/锁车特效声/孙尚香-大小姐驾到.WAV	2026-08-30T12:50:09Z	未声明，禁止公开再分发
lock-sound		宝马广告结尾.WAV	assets/xiaote/raw/lock-sounds/宝马广告结尾.WAV	446542	5c6bc8763d65fb7bf052fb46a92ae0ffcabca9bef3d702aa28cc398ae76ef78b	https://static0.xiaote.com/video/锁车特效声/宝马广告结尾.WAV	2026-08-30T12:50:09Z	未声明，禁止公开再分发
lock-sound		小团团拜拜.WAV	assets/xiaote/raw/lock-sounds/小团团拜拜.WAV	553038	f874ea5223d4bbad60942a6f741593ec3ca6ef568d5626e0f44021a8d8fd307d	https://static0.xiaote.com/video/锁车特效声/小团团拜拜.WAV	2026-08-30T12:50:09Z	未声明，禁止公开再分发
lock-sound		小团团蹦沙卡拉卡.WAV	assets/xiaote/raw/lock-sounds/小团团蹦沙卡拉卡.WAV	438350	3224a703dd6a6e7a03b288084e803440add86ba2f308b9945d2f236f9dfbc6f7	https://static0.xiaote.com/video/锁车特效声/小团团蹦沙卡拉卡.WAV	2026-08-30T12:50:09Z	未声明，禁止公开再分发
